,,log_4brackets_2ndcities_bracket0,log_4brackets_2ndcities_bracket1,log_4brackets_2ndcities_bracket2,log_4brackets_2ndcities_bracket3,rf_8brackets_2ndcities,rf_4brackets_2ndcities,2ndcities_category_counts,1stcities_category_counts,rf_4brackets_1stcities,rf_8brackets_1stcities,log_4brackets_1stcities_bracket0,log_4brackets_1stcities_bracket1,log_4brackets_1stcities_bracket2,log_4brackets_1stcities_bracket3
0_accessories_far,accessories_far,-0.0052,-0.0013,0.0026,0.2129,0.0017,0.001,141974,4720,0.0003,0.0008,-0.2651,0.1161,-0.0212,0.0311
1_accessories_far,accessories_far,0.0087,0.0145,0.0026,0.0252,0.0007,0.0001,18869,4968,0.0011,0.0003,0.0814,-0.1369,0.2419,0.041
2_accessories_far,accessories_far,0.0086,0.0017,-0.0184,0.0168,0.002,0.0009,108055,18818,0.0008,0.0007,0.1269,-0.0026,-0.1534,0.0138
3_accessories_far,accessories_far,0.0396,0.0012,0.0094,-0.1719,0.0007,0.0011,193429,13422,0.0014,0.003,0.1446,0.0038,0.141,-0.0447
4_accessories_far,accessories_far,-0.0122,0.0037,0.0397,-0.0438,0.0003,0.001,77612,2799,0,0.0004,-0.0928,0.1356,-0.1282,0.1017
0_accessories_near,accessories_near,-0.0423,0.0258,0.0044,0.0569,0.0005,0.0006,42744,1596,0,0,0.0237,0.0274,0.0098,-0.0587
1_accessories_near,accessories_near,0.0079,-0.0078,-0.0157,0.0593,0.0001,0.0003,6597,1092,0,0,-0.1774,0.0696,0.0328,-0.0406
2_accessories_near,accessories_near,0.0286,0.0016,0.0323,-0.196,0.0002,0.0012,36745,5807,0.001,0.0006,-0.1772,0.0411,0.0188,0.1348
3_accessories_near,accessories_near,0.0025,0.0079,-0.0156,-0.1254,0.0006,0.0013,55625,4915,0.0018,0.0009,0.008,-0.1278,-0.0414,0.1596
4_accessories_near,accessories_near,-0.0035,0.017,0.023,-0.0477,0,0,19999,472,0,0.0001,0.0118,-0.1287,-0.0472,0.0919
0_active_far,active_far,-0.0624,0.0019,0.0384,0.036,0.0035,0.0103,1372051,136470,0.006,0.0056,-0.0909,-0.0268,0.1635,0.1411
1_active_far,active_far,0.0061,-0.0002,0.0238,-0.1062,0.0002,0.0013,16829,2261,0.0002,0.0005,-0.2592,-0.0009,0.0346,0.0618
2_active_far,active_far,-0.0191,0.0139,0.0575,-0.1867,0.0007,0.0005,15442,13574,0.0008,0.0005,0.1792,-0.1092,-0.1249,0.2089
3_active_far,active_far,0.0017,0.0058,0.0106,-0.0519,0.0004,0.0003,4901,1723,0.0002,0.0002,-0.0939,0.0284,-0.0291,0.0817
4_active_far,active_far,0.0003,0.0082,0.0244,0.0292,0,0,2414,229,0.0001,0.0001,-0.0798,0.0051,-0.0117,-0.0037
0_active_near,active_near,-0.0731,0.0212,0.0013,0.1089,0.0113,0.0054,494896,38467,0.0041,0.0016,-0.0091,0.0287,0.0027,-0.1458
1_active_near,active_near,0.0005,-0.0004,0.0025,-0.0079,0.0001,0,2976,735,0.0008,0.0002,-0.1736,0.0409,0.0267,-0.013
2_active_near,active_near,0.002,0.0042,-0.0063,-0.0211,0.0001,0.0004,5679,4709,0.0003,0.0002,0.0616,-0.047,0.1097,-0.0643
3_active_near,active_near,0.0025,-0.0039,-0.0008,-0.0369,0,0,1770,571,0.0001,0.0001,-0.0472,-0.0519,0.1654,-0.0549
4_active_near,active_near,-0.0008,-0.0057,-0.0077,0.0668,0,0,682,65,0,0,0.0205,-0.0077,-0.0092,0.0007
0_apartments_far,apartments_far,-0.01,-0.0149,0.0464,0.0122,0.0036,0.0025,423841,36919,0.0027,0.0031,0.3132,-0.2181,-0.0735,-0.0415
1_apartments_far,apartments_far,0,0,0,0,0,0,0,124,0,0,-0.0125,0.0014,-0.0085,-0.0089
2_apartments_far,apartments_far,0,0,0,0,0,0,0,447,0.0002,0,0.2619,-0.071,0.1097,-0.0058
3_apartments_far,apartments_far,0,0,0,0,0,0,0,24,0,0,-0.0196,0.0035,-0.0004,-0.0005
4_apartments_far,apartments_far,-0.0005,-0.0008,-0.0072,-0.0032,0.0005,0,738,71,0,0,0.0004,-0.0011,-0.0025,-0.0001
0_apartments_near,apartments_near,-0.0299,0.0203,0.1208,-0.1047,0.0042,0.0111,166670,13414,0.0024,0.0028,0.3327,-0.1485,0.0856,0.212
1_apartments_near,apartments_near,0,0,0,0,0,0,0,52,0,0,-0.0455,0.0151,0.0002,-0.0002
2_apartments_near,apartments_near,0,0,0,0,0,0,0,188,0,0.0002,0.0869,-0.0416,-0.0168,-0.007
3_apartments_near,apartments_near,0,0,0,0,0,0,0,8,0,0,-0.0149,0.0039,-0.0009,0
4_apartments_near,apartments_near,0,0.0002,-0.0067,0.0492,0.0001,0,153,31,0,0,-0.0409,0.0142,0,0
0_arts_far,arts_far,-0.0054,-0.0039,-0.0083,0.0104,0.003,0.003,1492673,157449,0.0034,0.0079,0.0681,-0.0964,-0.0275,0.0808
1_arts_far,arts_far,0.0271,0.0122,-0.086,0.0857,0.0007,0.0007,37543,23021,0.0013,0.0017,-0.1946,0.04,0.0272,-0.0476
2_arts_far,arts_far,0.0129,0.0195,-0.0101,-0.0217,0.0009,0.0018,146802,49163,0.0037,0.0053,0.1857,-0.1172,-0.0298,0.0404
3_arts_far,arts_far,0.0366,-0.0372,0.0404,0.0136,0.002,0.0006,59058,8255,0.0003,0.0004,0.0543,-0.106,0.0664,0.1044
4_arts_far,arts_far,0.0022,0.0196,0.0781,0.0929,0.0003,0.0003,27986,5012,0.0006,0.0006,0.3745,-0.1359,0.0155,-0.1491
0_arts_near,arts_near,0.0147,-0.0289,-0.0449,0.0687,0.0025,0.0015,482619,43806,0.0022,0.0018,-0.0312,-0.0702,-0.1078,0.2597
1_arts_near,arts_near,-0.0164,0.0186,-0.0271,-0.153,0.0007,0.0001,13566,9390,0.0004,0.0004,0.2332,-0.0881,0.0676,-0.0199
2_arts_near,arts_near,0.0139,-0.0078,0.0219,-0.1632,0.0014,0.0007,50034,14571,0.0015,0.0014,0.0846,-0.1526,0.0631,0.1981
3_arts_near,arts_near,0.0001,0.0127,0.0308,-0.2112,0.0001,0.0005,23595,3415,0.0002,0.0003,-0.1795,0.1703,-0.0742,0.0493
4_arts_near,arts_near,0.0069,-0.0159,-0.0168,0.0808,0.0011,0.0001,10304,2446,0,0,-0.0591,0.0307,-0.1192,-0.012
0_artsandcrafts_far,artsandcrafts_far,0.0192,-0.0026,-0.0261,0.1154,0.0003,0.0001,12503,2519,0.0007,0.0009,-0.3949,0.0239,0.2651,0.0149
1_artsandcrafts_far,artsandcrafts_far,-0.0031,0.0032,-0.0002,0.0307,0.0001,0,3410,2241,0.0003,0.0005,-0.0098,0.0584,-0.1701,-0.0565
2_artsandcrafts_far,artsandcrafts_far,0.0027,-0.0069,-0.0269,0.125,0.0001,0.0008,18352,14198,0.002,0.0017,-0.4268,0.239,-0.1103,0.0131
3_artsandcrafts_far,artsandcrafts_far,0.0059,-0.0186,0.0143,-0.1196,0.0002,0,22160,4592,0.0006,0.0014,0.2526,0.0476,-0.1207,-0.0959
4_artsandcrafts_far,artsandcrafts_far,-0.0013,-0.012,-0.0623,0.0871,0,0,1209,29,0,0,0.0765,-0.0192,-0.0207,-0.0072
