,0,1
673,0_accessories_far,accessories_far
672,0_accessories_near,accessories_near
113,0_active_far,active_far
112,0_active_near,active_near
573,0_apartments_far,apartments_far
572,0_apartments_near,apartments_near
223,0_arts_far,arts_far
222,0_arts_near,arts_near
903,0_artsandcrafts_far,artsandcrafts_far
902,0_artsandcrafts_near,artsandcrafts_near
823,0_asianfusion_far,asianfusion_far
822,0_asianfusion_near,asianfusion_near
1373,0_auto_detailing_far,auto_detailing_far
1372,0_auto_detailing_near,auto_detailing_near
73,0_auto_far,auto_far
72,0_auto_near,auto_near
753,0_autopartssupplies_far,autopartssupplies_far
752,0_autopartssupplies_near,autopartssupplies_near
203,0_autorepair_far,autorepair_far
202,0_autorepair_near,autorepair_near
373,0_bakeries_far,bakeries_far
372,0_bakeries_near,bakeries_near
1153,0_banks_far,banks_far
1152,0_banks_near,banks_near
733,0_barbers_far,barbers_far
732,0_barbers_near,barbers_near
93,0_bars_far,bars_far
92,0_bars_near,bars_near
873,0_bbq_far,bbq_far
872,0_bbq_near,bbq_near
33,0_beautysvc_far,beautysvc_far
32,0_beautysvc_near,beautysvc_near
773,0_beer_and_wine_far,beer_and_wine_far
772,0_beer_and_wine_near,beer_and_wine_near
1213,0_bodyshops_far,bodyshops_far
1212,0_bodyshops_near,bodyshops_near
273,0_breakfast_brunch_far,breakfast_brunch_far
272,0_breakfast_brunch_near,breakfast_brunch_near
263,0_burgers_far,burgers_far
262,0_burgers_near,burgers_near
413,0_cafes_far,cafes_far
412,0_cafes_near,cafes_near
743,0_car_dealers_far,car_dealers_far
742,0_car_dealers_near,car_dealers_near
1313,0_carwash_far,carwash_far
1312,0_carwash_near,carwash_near
603,0_catering_far,catering_far
602,0_catering_near,catering_near
533,0_chicken_wings_far,chicken_wings_far
532,0_chicken_wings_near,chicken_wings_near
333,0_chinese_far,chinese_far
332,0_chinese_near,chinese_near
1103,0_chiropractors_far,chiropractors_far
1102,0_chiropractors_near,chiropractors_near
1303,0_cocktailbars_far,cocktailbars_far
1302,0_cocktailbars_near,cocktailbars_near
133,0_coffee_far,coffee_far
132,0_coffee_near,coffee_near
453,0_contractors_far,contractors_far
452,0_contractors_near,contractors_near
843,0_convenience_far,convenience_far
842,0_convenience_near,convenience_near
1343,0_copyshops_far,copyshops_far
1342,0_copyshops_near,copyshops_near
713,0_cosmeticdentists_far,cosmeticdentists_far
712,0_cosmeticdentists_near,cosmeticdentists_near
703,0_cosmetics_far,cosmetics_far
702,0_cosmetics_near,cosmetics_near
793,0_delis_far,delis_far
792,0_delis_near,delis_near
383,0_dentists_far,dentists_far
382,0_dentists_near,dentists_near
933,0_deptstores_far,deptstores_far
932,0_deptstores_near,deptstores_near
433,0_desserts_far,desserts_far
432,0_desserts_near,desserts_near
1093,0_diners_far,diners_far
1092,0_diners_near,diners_near
913,0_drugstores_far,drugstores_far
912,0_drugstores_near,drugstores_near
1063,0_dryclean_far,dryclean_far
1062,0_dryclean_near,dryclean_near
423,0_education_far,education_far
422,0_education_near,education_near
973,0_electronics_far,electronics_far
972,0_electronics_near,electronics_near
1133,0_eventplanning_far,eventplanning_far
1132,0_eventplanning_near,eventplanning_near
103,0_eventservices_far,eventservices_far
102,0_eventservices_near,eventservices_near
853,0_eyelashservice_far,eyelashservice_far
852,0_eyelashservice_near,eyelashservice_near
123,0_fashion_far,fashion_far
122,0_fashion_near,fashion_near
443,0_financialservices_far,financialservices_far
442,0_financialservices_near,financialservices_near
293,0_fitness_far,fitness_far
292,0_fitness_near,fitness_near
1353,0_florists_far,florists_far
1352,0_florists_near,florists_near
633,0_flowers_far,flowers_far
632,0_flowers_near,flowers_near
23,0_food_far,food_far
22,0_food_near,food_near
1453,0_french_far,french_far
1452,0_french_near,french_near
803,0_furniture_far,furniture_far
802,0_furniture_near,furniture_near
483,0_generaldentistry_far,generaldentistry_far
482,0_generaldentistry_near,generaldentistry_near
323,0_gourmet_far,gourmet_far
322,0_gourmet_near,gourmet_near
1383,0_greek_far,greek_far
1382,0_greek_near,greek_near
393,0_grocery_far,grocery_far
392,0_grocery_near,grocery_near
993,0_groomer_far,groomer_far
992,0_groomer_near,groomer_near
593,0_gyms_far,gyms_far
592,0_gyms_near,gyms_near
1433,0_hair_extensions_far,hair_extensions_far
1432,0_hair_extensions_near,hair_extensions_near
153,0_hair_far,hair_far
152,0_hair_near,hair_near
363,0_hairremoval_far,hairremoval_far
362,0_hairremoval_near,hairremoval_near
723,0_hairstylists_far,hairstylists_far
722,0_hairstylists_near,hairstylists_near
53,0_health_far,health_far
52,0_health_near,health_near
783,0_healthtrainers_far,healthtrainers_far
782,0_healthtrainers_near,healthtrainers_near
193,0_homeandgarden_far,homeandgarden_far
192,0_homeandgarden_near,homeandgarden_near
1223,0_homecleaning_far,homecleaning_far
1222,0_homecleaning_near,homecleaning_near
763,0_homedecor_far,homedecor_far
762,0_homedecor_near,homedecor_near
43,0_homeservices_far,homeservices_far
42,0_homeservices_near,homeservices_near
163,0_hotdogs_far,hotdogs_far
162,0_hotdogs_near,hotdogs_near
513,0_hotels_far,hotels_far
512,0_hotels_near,hotels_near
213,0_hotelstravel_far,hotelstravel_far
212,0_hotelstravel_near,hotelstravel_near
963,0_hvac_far,hvac_far
962,0_hvac_near,hvac_near
503,0_icecream_far,icecream_far
502,0_icecream_near,icecream_near
1043,0_indpak_far,indpak_far
1042,0_indpak_near,indpak_near
303,0_italian_far,italian_far
302,0_italian_near,italian_near
1003,0_itservices_far,itservices_far
1002,0_itservices_near,itservices_near
523,0_japanese_far,japanese_far
522,0_japanese_near,japanese_near
893,0_jewelry_far,jewelry_far
892,0_jewelry_near,jewelry_near
943,0_juicebars_far,juicebars_far
942,0_juicebars_near,juicebars_near
1283,0_landscaping_far,landscaping_far
1282,0_landscaping_near,landscaping_near
1073,0_laundryservices_far,laundryservices_far
1072,0_laundryservices_near,laundryservices_near
1443,0_lawyers_far,lawyers_far
1442,0_lawyers_near,lawyers_near
63,0_localservices_far,localservices_far
62,0_localservices_near,localservices_near
983,0_lounges_far,lounges_far
982,0_lounges_near,lounges_near
1233,0_makeupartists_far,makeupartists_far
1232,0_makeupartists_near,makeupartists_near
493,0_massage_far,massage_far
492,0_massage_near,massage_near
883,0_massage_therapy_far,massage_therapy_far
882,0_massage_therapy_near,massage_therapy_near
923,0_medcenters_far,medcenters_far
922,0_medcenters_near,medcenters_near
1113,0_media_far,media_far
1112,0_media_near,media_near
1263,0_medicalspa_far,medicalspa_far
1262,0_medicalspa_near,medicalspa_near
833,0_mediterranean_far,mediterranean_far
832,0_mediterranean_near,mediterranean_near
863,0_menscloth_far,menscloth_far
862,0_menscloth_near,menscloth_near
313,0_mexican_far,mexican_far
312,0_mexican_near,mexican_near
1253,0_mideastern_far,mideastern_far
1252,0_mideastern_near,mideastern_near
1243,0_mobilephones_far,mobilephones_far
1242,0_mobilephones_near,mobilephones_near
1363,0_movers_far,movers_far
1362,0_movers_near,movers_near
343,0_newamerican_far,newamerican_far
342,0_newamerican_near,newamerican_near
813,0_newcanadian_far,newcanadian_far
812,0_newcanadian_near,newcanadian_near
83,0_nightlife_far,nightlife_far
82,0_nightlife_near,nightlife_near
663,0_oilchange_far,oilchange_far
662,0_oilchange_near,oilchange_near
1333,0_opticians_far,opticians_far
1332,0_opticians_near,opticians_near
1183,0_optometrists_far,optometrists_far
1182,0_optometrists_near,optometrists_near
283,0_othersalons_far,othersalons_far
